County,City,Female,Male,Other,Grand Total
Snohomish,,144904,135673,6264,286841
, Arlington,6832,6208,279,13319
, Bothell,5857,5468,255,11580
, Brier,2474,2391,110,4975
, Darrington,467,447,28,942
, Edmonds,16312,13971,663,30946
, Everett,29290,28548,1484,59322
, Gold Bar,691,710,30,1431
, Granite Falls,1507,1496,61,3064
, Index,62,58,3,123
, Lake Stevens,12872,12309,469,25650
, Lynnwood,11298,10402,497,22197
, Marysville,22261,21249,828,44338
, Mill Creek,6607,5965,297,12869
, Monroe,5297,5008,222,10527
, Mountlake Terrace,6819,6252,353,13424
, Mukilteo,7357,7048,324,14729
, Snohomish,3561,3120,132,6813
, Stanwood,2828,2492,123,5443
, Sultan,1983,2033,90,4106
, Woodway,529,498,16,1043
Spokane,,124159,114291,6237,244687
, Airway Heights,2338,2251,144,4733
, Cheney,3137,3008,209,6354
, Deer Park,1721,1560,90,3371
, Fairfield,211,210,6,427
, Latah,63,66,3,132
, Liberty Lake,4828,4274,148,9250
, Medical Lake,1480,1489,64,3033
, Millwood,674,649,16,1339
, Rockford,169,184,6,359
, Spangle,89,97,7,193
, Spokane,74277,67860,4046,146183
, Spokane Valley,35129,32593,1498,69220
, Waverly,43,50,0,93
Stevens,,3363,3008,181,6552
,Chewelah,947,821,54,1822
,Colville,1597,1471,83,3151
,Kettle Falls,572,488,29,1089
,Marcus,63,54,4,121
,Northport,99,92,7,198
,Springdale,85,82,4,171
Thurston,,51361,44261,2218,97840
, Bucoda,170,174,11,355
, Lacey,18298,15860,640,34798
, Olympia,19235,16299,1078,36612
, Rainier,796,754,18,1568
, Tenino,678,565,23,1266
, Tumwater,9459,8006,356,17821
, Yelm,2725,2603,92,5420
Wahkiakum,,225,192,17,434
, Cathlamet,225,192,17,434
Walla Walla,,13237,11762,470,25469
, College Place,2959,2573,107,5639
, Prescott,102,92,6,200
, Waitsburg,423,389,14,826
, Walla Walla,9753,8708,343,18804
Whatcom,,46712,42158,2148,91018
, Bellingham,31341,28027,1767,61135
, Blaine,2317,2232,69,4618
, Everson,880,813,24,1717
, Ferndale,5309,4848,161,10318
, Lynden,5850,5250,108,11208
, Nooksack,523,493,9,1025
, Sumas,492,495,10,997
Whitman,,8891,8367,697,17955
,Albion ,169,172,14,355
,Colfax,964,848,48,1860
,Colton,150,145,5,300
,Endicott ,105,97,5,207
,Farmington ,43,51,4,98
,Garfield ,209,182,6,397
,Lacrosse ,100,112,7,219
,Lamont ,19,23,3,45
,Malden ,36,43,6,85
,Oakesdale ,142,144,9,295
,Palouse,411,361,15,787
,Pullman,5759,5479,528,11766
,Rosalia ,194,169,11,374
,St John ,208,193,10,411
,Tekoa,262,222,19,503
,Uniontown,120,126,7,253
Yakima,,40844,35424,918,77186
, Grandview,2286,1933,46,4265
, Granger,669,552,22,1243
, Harrah,159,129,3,291
, Mabton,393,329,7,729
, Moxee,1275,1157,24,2456
, Naches,274,260,5,539
, Selah,2462,2188,54,4704
, Sunnyside,3016,2599,74,5689
, Tieton,319,256,10,585
, Toppenish,1680,1467,39,3186
, Union Gap,1541,1359,46,2946
, Wapato,944,786,22,1752
, Yakima,24942,21629,555,47126
, Zillah,884,780,11,1675
Grand Total,,1524077,1418378,74555,3017010
